video_id,config_num,config
2,9,"[{'ad_id': 2, 'time': 115, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 4, 'time': 397, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 5, 'time': 623, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
2,10,"[{'ad_id': 6, 'time': 112, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 3, 'time': 293, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 4, 'time': 617, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
3,1,"[{'ad_id': 4, 'time': 67, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 6, 'time': 259, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 1, 'time': 472, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
3,2,"[{'ad_id': 7, 'time': 67, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 6, 'time': 249, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 2, 'time': 441, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}]"
3,3,"[{'ad_id': 4, 'time': 144, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 0, 'time': 249, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 3, 'time': 419, 'url': 'https://mall.jd.com/index-1000074823.html'}]"
3,4,"[{'ad_id': 2, 'time': 67, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 4, 'time': 256, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 3, 'time': 419, 'url': 'https://mall.jd.com/index-1000074823.html'}]"
3,5,"[{'ad_id': 2, 'time': 67, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 0, 'time': 303, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}, {'ad_id': 7, 'time': 441, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}]"
3,6,"[{'ad_id': 1, 'time': 217, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 2, 'time': 314, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 5, 'time': 419, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
3,7,"[{'ad_id': 6, 'time': 217, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 314, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 1, 'time': 441, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
3,8,"[{'ad_id': 1, 'time': 124, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 6, 'time': 258, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 2, 'time': 472, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}]"
3,9,"[{'ad_id': 5, 'time': 67, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 7, 'time': 244, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 2, 'time': 340, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}]"
3,10,"[{'ad_id': 7, 'time': 124, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 3, 'time': 259, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 5, 'time': 419, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
4,1,"[{'ad_id': 1, 'time': 80, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 7, 'time': 243, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 2, 'time': 647, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}]"
4,2,"[{'ad_id': 3, 'time': 162, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 5, 'time': 413, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 6, 'time': 574, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}]"
4,3,"[{'ad_id': 7, 'time': 141, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 3, 'time': 281, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 4, 'time': 516, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
4,4,"[{'ad_id': 6, 'time': 190, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 352, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 0, 'time': 488, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
4,5,"[{'ad_id': 1, 'time': 232, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 7, 'time': 370, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 4, 'time': 624, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
4,6,"[{'ad_id': 4, 'time': 183, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 6, 'time': 377, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 5, 'time': 625, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
4,7,"[{'ad_id': 7, 'time': 80, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 5, 'time': 186, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 2, 'time': 505, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}]"
4,8,"[{'ad_id': 4, 'time': 213, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 3, 'time': 440, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 0, 'time': 640, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
4,9,"[{'ad_id': 3, 'time': 90, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 6, 'time': 232, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 1, 'time': 597, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
4,10,"[{'ad_id': 1, 'time': 195, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 7, 'time': 461, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 4, 'time': 624, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
5,1,"[{'ad_id': 4, 'time': 217, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 6, 'time': 338, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 3, 'time': 434, 'url': 'https://mall.jd.com/index-1000074823.html'}]"
5,2,"[{'ad_id': 1, 'time': 128, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 3, 'time': 338, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 4, 'time': 434, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
5,3,"[{'ad_id': 6, 'time': 217, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 3, 'time': 434, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 0, 'time': 526, 'url': 'https://pro.jd.com/mall/active/tt8sDHUcppeRLQV6pis6et1YqZR/index.html'}]"
5,4,"[{'ad_id': 4, 'time': 166, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}, {'ad_id': 7, 'time': 284, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 5, 'time': 455, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
5,5,"[{'ad_id': 2, 'time': 128, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 7, 'time': 300, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 5, 'time': 455, 'url': 'https://mall.jd.com/index-1000008814.html'}]"
5,6,"[{'ad_id': 1, 'time': 200, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 6, 'time': 300, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 4, 'time': 407, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
5,7,"[{'ad_id': 7, 'time': 200, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 6, 'time': 366, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 1, 'time': 526, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
5,8,"[{'ad_id': 2, 'time': 217, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 7, 'time': 327, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 1, 'time': 526, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
5,9,"[{'ad_id': 7, 'time': 200, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 5, 'time': 300, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 1, 'time': 434, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
5,10,"[{'ad_id': 7, 'time': 128, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 1, 'time': 407, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 6, 'time': 526, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}]"
6,1,"[{'ad_id': 6, 'time': 115, 'url': 'https://pro.jd.com/mall/active/277WPxCkxUmRTyZTHGZ1b1bYgAXU/index.html'}, {'ad_id': 7, 'time': 383, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}, {'ad_id': 1, 'time': 814, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}]"
6,2,"[{'ad_id': 1, 'time': 153, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 5, 'time': 448, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 4, 'time': 795, 'url': 'https://yilidwrp.tmall.com/p/rd441859.htm'}]"
6,3,"[{'ad_id': 3, 'time': 144, 'url': 'https://mall.jd.com/index-1000074823.html'}, {'ad_id': 5, 'time': 626, 'url': 'https://mall.jd.com/index-1000008814.html'}, {'ad_id': 7, 'time': 802, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}]"
6,4,"[{'ad_id': 1, 'time': 115, 'url': 'https://sale.jd.com/mall/tEzqm8w3fUZK.html'}, {'ad_id': 2, 'time': 533, 'url': 'https://pro.jd.com/mall/active/3iASDWo7Xpzq2uSVN7ARAeXzLZME/index.html'}, {'ad_id': 7, 'time': 773, 'url': 'http://www.emerail.cn/htm/Article/ArticleDetail/350.html'}]"
