id,title,categories,tags
1,《屌丝男士》大鹏柳岩马丽爱恨情仇,剧集 屌丝男士,喜剧 大鹏 屌丝男士
2,《五金少女》10㎡蜗居也能有衣帽间！城中村合租屋爆改全过程！,综艺,五金少女 租房改造 综艺
3,《屌丝男士》第四季韩庚宋小宝爆笑喜剧,剧集 屌丝男士,喜剧 大鹏 屌丝男士
4,《爸爸去哪了》可爱娃娃和爸爸们温馨闯关东庠岛,综艺,爸爸去哪了 综艺
5,《屌丝女士》女版大鹏搞笑依旧,其他喜剧,大鹏 屌丝女士
6,《爱情公寓》曾小贤胡一菲难割难舍,其他喜剧,爱情公寓 综艺
7,《屌丝男士》第四季大鹏冰冰搞笑相亲,剧集 屌丝男士,大鹏 屌丝男士
8,《信誓蛋蛋》美国网红汉堡店vs肯德基，差别在哪？,综艺,信誓蛋蛋 综艺
9,《屌丝男士》第四季大鹏齐彬爆笑大保健,剧集 屌丝男士,喜剧 大鹏 屌丝男士
10,《我是歌手》李雯coco超燃what’s up点燃全场,综艺,我是歌手 综艺 超然 音乐
